restaurant_id,restaurant_name
4000264,Hawaya Gardens - (Close )حدائق حوايا
4000265,Healthy & Delicious - صحي ولذيذ
4000266,Barvenue - بارفنيو  close
4000267,Bunah 9/10 - 9/10 بنه
4000268,Do5na - مطعم دخنة
4000269,Multi Burger - ملتي برجر - Closed
4000270,Shrimp Rush - شرمب رش
4000271,Japang Chicken - دجاج جابانغ يابانى - close
4000272,Jahez Care - عناية جاهز - close
4000273,Chinawok - تشاينا ووك
4000274,Kargo Burger - كارقو برجر 
4000275,Mix Pie - فطيرة ميكس 
4000276,3BROS - ثري بروز - cloose
4000277,UNDER500 - اندر500 
4000278,Bomb Pastry 9/10  - 9/10 بومب باستري
4000279,مركز اللحوم الطازجة نعيم الفردوس
4000280,Burgerizzr | BBQ- برغرايززر | باربيكيو
4000281,Bader Mkata Jahez -  بدر للمقطع و الجاهز -close
4000282,Kabsa Dasman - كبسة دسمان -close
4000283,Eat Up - ايت اب
4000284,Tones coffee- قهوة تونز - close
4000285,Farahat - فرحات - close
4000286,CAF - كاف - close
4000287,Bread Plus - خبز وأكثر - close
4000288,Gout Delicieux - جو ديليسيو - close 
4000289,Larose - لاروز
4000290,Vibz Cafe - فايبز
4000291,Rashfat Shai -  مقهى رشفة شاي
4000292,Acai Carnaval - أساي كرنفال - closed
4000293,Morn Tea  9/10 - 9/10 شاي الضحى
4000294,Mafaza Sweets 9/10 - 9/10  مفازا دغ دغ فمك - close
4000295,Theo Chocolatier  9/10 - 9/10 ثيو - close
4000296,Jawhara Alfares 9/10 - 9/10 مطبخ جوهرة الفارس
4000297,Izaak Grill - ايزاك جريل - closed
4000298,Chocoology - شوكولوجي Closed
4000299,Pizza Billa - بيتزا بيلا
4000300,Kitchen 91 - كتشن 91
4000301,Zman Al lokymat wl Sambosa-زمان اللقيمات والسمبوسة
4000302,Makarem Annakheel - مكارم النخيل - close
4000303,Nayyara  - نيارة 
4000304,Falafel com+ - فلافل كم بلص
4000305,Joseph Burger - جوزيف برجر                    
4000306,Cribs Of Ribs - كريبس اوف ريبس Terminated
4000307, Shawerma Lannoni - شاورما لنوني
4000308,Roznas - رزناس
4000309,Naji Alharbi Restaurants - مطاعم ناجي الحربي 
4000310,Diet Time - مكملات غذائية - cloose
4000311,Forti Pizzeria - فورتي بيتزاريا
4000312,Asian House - البيت الآسيوي
4000313,Half Pound - هاف باوند 
4000314,Nwakhed - نواخذ
4000315,Nthryoon - نثريون - cloose
4000316, Quarantotto48 Pizzeria - كوارانتوتو48 - close
4000317,Kufa - كوفه
4000318,seriously - سيريسلي
4000319,Burger777 Rest - برجر 777  
4000320,Al Kanafany J - الكنفاني - close 
4000321,Brooklyn Closed  - بروكلين 
4000322,Alkabsa Alhasawiya E - الكبسة الحساوية
4000323,Opaq - اوباك
4000324,Tawook Nation - طاووق نيشن
4000325,Chef's Garage - كراج الشيف
4000326,Broccoli Pizza And Pasta Jiz - بروكلي بيتزا وباستا
4000327,متجر المستوى التالي - NEXT LEVEL STORE
4000328,Maqloba & More - مقلوبة و أكثر
4000329,The Sixth Districts - 6D ذا سيكث دستركت
4000330,Coffee alliance -  تحالف القهوه - cloose
4000331,Pecanolli  - بيكانولي 
4000332,CLOSED - Burger Agent - برجر أيجنت
4000333,Sugar N Spice 9/10 - 9/10 شوغر اند سبايس
4000334,Kova Coffee - قهوة كوفا - close
4000335,Gourkarak - غور كرك
4000336,Bab Sharqi Sweets - حلويات باب شرقي  
4000337,Ounce - أونصة
4000338,Jelly Rush - جزيرة الحلويات / جلي رش
4000339,Pickles - بكلز
4000340,Chuck E Cheese - تشكي تشيز
4000341,Chocomood MK - شوكومود - Closed
4000342,Afaq Coffee Roaster  - محمصة آفاق
4000343,Rzizat - رزيزات 
4000344,Auntie Annes -  أنتي آنز
4000345,X Bite - اكس بايت
4000346,Ekbis_ha- إكبسها
4000347,20g Coffee Roasters - مقهى ومحمصة عشرين جرام قهوة
4000348,Almohamadia Dates  - تمور المحمدية
4000349,Samra - سمرة
4000350,Palma - بالما 
4000351,Menchies - منشيز
4000352,Gahwa - قهوه
4000353,Movenpick - موفنبيك - close
4000354,Patry And Casserole - عاجن وطاجن - close
4000355,Bonavida - بونافيدا
4000356,Ovvi Lounge - اوفي لاونج
4000357,Chick Fresh - شيك فريش
4000358,terminated - Doctor Steak - دكتور ستيك
4000359,Katakeet - كتاكيت
4000360, Pollo - بويو - close
4000361,Jawa Spicy - جاوا سبايسي CLOSED
4000362,Best Taste - بيست تيست
4000363,First Tashreen Coffee - مقهى تشرين الأول closed 
4000364,Outside - اوت سايد 
4000365,Slider Code - سلايدر كود
4000366,Coffee Engineering - هندسة القهوة - close
4000367,كربس سينامون & كوفى Closed 
4000368,Refreshers - ريفريشرز
4000369,Restaurant Kabsa And Shui - مطعم كبسة و شوي
4000370,PizzAlmetro - بيتزالميترو
4000371,Night Burger - نايت برجر
4000372,Mr Pasta - مستر باستا
4000373,Sweetella - سويتلا
4000374,Lebalcon - لو بالكون - close
4000375,Thuluth Coffee Roasters - مقهى ومحمصة ثلث
4000376,Rawayie Almuejanat - روائع المعجنات 
4000377,Dar Um Naif - دار ام نايف
4000378,Qoot Almasa - قوت المساء
4000379,burgy T - برقي - closed
4000380,Jawa Jeddah - جاوا جده 
4000381,Shrimpvibes - شرمب فايبز
4000382,Fatirah Express - فطيرة اكسبريس 
4000383, Marble - ماربل
4000384,Cheese Power - قوة الجبن close
4000385,متعة القهوة 
4000386,Hungry Break - هنقري بريك
4000387,JeddoShaker Restaurants - مطاعم جدو شاكر - close
4000388,Yalla Falafel - يلا فلافل - Terminated
4000389,Sababah - صبابة 
4000390,Vibes Burger - فايبز برجر closed
4000391,Golden Broast - البرست الذهبي
4000392,Bali - بالي - Closed
4000393,88PORT | ٨٨ بورت
4000394,Army Shawarma - جيش الشاورما - Closed
4000395,Shrimplus  J - شريمبلس
4000396,Kebab Creation - كباب كريشن - close 
4000397,Mazag Juice - عصير مزاج closed
4000398,M3llm - نكمل السفرة 🌙 شاورما معلم
4000399,Triple S Close - تربل اس
4000400,Ribs Yard - ريبز يارد
4000401,Luqaimat Qarmash - لقيمات قرمشة
4000402,باستا الفورنو - Alforno Pasta ( Close ) 
4000403,Magalotti Gelato & Coffee - مقالوتي جيلاتو
4000404,South West - ساوث ويست
4000405,Arab Burger - عرب برجر
4000406,Broccoli Pizza & Pasta  SU - بروكلي بيتزا و باستا
4000407,Awsal and grill - أوصال وشواية  
4000408,Legymat Balah MJ - لقيمات و بلح
4000409,cali - كالي 
4000410,Tasat Samak - طاسة سمك
4000411,Grandma's - قراندماز
4000412,برجر إيكا - Burger Ekka
4000413,Top Five Coffee - توب فايف كافيه  close
4000414,Kohoo Cafe - قهوة قوهو
4000415,Sharwma - مطعم شاروما
4000416,Falafel Pie Hf - فطيرة الفلافل 
4000417,Pizzeria Dough -  بيتزريا دو - Terminated
4000418,Swiss Taste - المذاق السويسري
4000419,Sultan Grill - سلطان الشواية
4000420,Kaakunada - كعكوناضة
4000421,Shawrmaty - شاورماتي
4000422,Falafelcom M - CLOSED فلافل كم
4000423,10th Bite - القضمة العاشرة 
4000424,911 Burger Z - برجر 911 
4000425,Fly Burger - فلاي 
4000426,Almdgot Altazeg - المضغوط الطازج
4000427,Basel Food - باسل فود
4000428,L'Odore - عطور لودوريه 
4000429,H burger - اتش برجر
4000430,Burger Gate - برجر قيت
4000431,Section 13 - تقاطع ١٣
4000432,Azaim Najd Breakfast - افطار عزايم نجد
4000433,Jabal Amman - جبل عمان Closed
4000434,Falafelcom T - فلافل كم - Closed
4000435,Mashawi AlGharbiyyah - مشاوي الغربية للسيريه
4000436,ROAST MEAT - مطعم مشوي اللحم ( Close ) 
4000437,Burger Plan - برجر بلان
4000438,Crispy Station - كرسبي ستيشن
4000439,More Fries - مور فرايز  - close
4000440,Pulled - بولد
4000441,Lucia - لوشيا  -close
4000442,Bastet  - باستيت
4000443,Mtktk - متكتك
4000444,Oyster Delight Restaurant - مطعم لذة المحار
4000445,Hustle - هسل - close 
4000446,Lubna Restaurant  - مطعم لبنى
4000447,Bun.ch - بنش
4000448,Project One - بروجكت ون
4000449,Flavor Chicken Village - نكهة دجاج القرية
4000450,Fatburger - فات برجر 
4000451,9 /10 Reception - ريسبشن 9/10
4000452,Daily Dose - جرعه دائمه
4000453,Fancy Toast - فانسي توست
4000454,Hauston - هاوستن
4000455,Sultan Of shrimp - سلطان الجمبري 
4000456,Tostador - توستادور
4000457,Chicken Land - عالم الدجاج 
4000458,Aton - اتون
4000459,Max's All About Chicken - ماكسز دجاج في دجاج
4000460,Sutlac - سوتلاش ( Close ) 
4000461,Koozi - كوزي
4000462,Tag grill - تاق جريل - close
4000463,Catch Cafe - قهوة كاتش - cloose
4000464,Maiydat Sumrqand Restaurant - مطعم مائدة سمرقند
4000465,Mutabbaqria - مطبقريا
4000466,Shwaiat Al Orubah - شواية العروبة البخاري
4000467,Lampara Cafe - لامبارا كافيه
4000468,terminated - Choco 45 - شوكو 45
4000469,Rz Cafe - آرز كافيه - close 
4000470,Lokmat Hassana - لقمة حسانا
4000471,Flank - فلانك
4000472,Triple S Close  - تربل اس
4000473,ODORE COFFEE -قهوة اودوري
4000474,AL Bakor - الباكور 
4000475,terminated - Juicy Burger J - جوسي برجر 
4000476,Hungry Lion - الأسد الجائع
4000477,Mazaq Albroast Albaladi - close
4000478,ZOX 9/10 - 9/10 زوكس 
4000479,Curve Roastery - محمصة كيرف
4000480,Shrimplus Q - شريمبلس
4000481,Saleeq Altahi - سليق الطاهي
4000482,Shawerma Ala Almzaj - شاورما على المزاج
4000483,Taybatalkhobar - طيبات الخبر
4000484,Dessert Goods - دزرت قودز - close
4000485,Chicking M - تشيكينغ close
4000486,Sheep Meat  - لحم الخروف
4000487,Gaslamp - الفانوس
4000488,Kunafa Pro - كنافة برو
4000489,Taaleel Cafe - تعاليل كافيه - closed
4000490,Shabiyat - شعبيات
4000491,Old West - الغرب القديم - Closed
4000492,VOLT فولت - قهوة مختصة
4000493,terminated - Winner - وينر
4000494,PeP&Co - بيب اند كو - close
4000495,Liter And Half Juices - عصائر لتر ونص
4000496,Alwadi Castle Shawarma - شاورما قلعة الوادي closed
4000497,Looms - لومز
4000498,Coffee Scale - ميزان القهوة
4000499,JAZ - جاز - cloose
4000500,Moroccan Corner - مطعم الركن المغربي Terminated
4000501,Gafshat Albait - مطعم قفشة البيت 
4000502,Lana Pies - فطائر لانا
4000503,Lobster House - بيت اللوبستر-CLOSED
4000504,OYA Sushi Bar - أويا سوشي بار
4000505,Vouk - فوك
4000506,Narjina - نارجينا 
4000507,House Of Donuts - بيت الدونات
4000508,Kunafa Crunch - كنافة كرانش
4000509,Tawookji Restaurants - مطاعم طاوقجي
4000510,Aces -  ايسز
4000511,Dekaan 90 - دكان التسعينات
4000512,Coffee Extraction - استخلاص القهوة
4000513,One Shawarma B - واحد شاورما
4000514,Hot Meal - هوت ميل Closed
4000515,terminated - Grill Full - جريل فل
4000516,Anya - انياه
4000517,Frenzy Chicken - فرينزي تشيكن
4000518,Baco - باكو
4000519,Pizza Art - بيتزا ارت 
4000520,House of Javanese - البيت الجاوي
4000521,20 Diamonds Café - عشرون ماسه - cloose
4000522,KOI - كوي
4000523,terminated - Casa De Camarones - كازا دي كامرونيز
4000524,Best Juice T - العصير الأفضل 
4000525,Social Karak - سوشل كرك - Closed
4000526,Army Café - آرمي كافي - cloose
4000527,WOW Bon Café - قهوة واو البن - terminated
4000528,Ricci - ريتشي  
4000529,Soe To Go - سو تو قو - cloose
4000530,Hydrogen - هيدروجين
4000531,Shawrma Guys - شاورما قايز - cloose
4000532,Buzz Burger - بوز برجر - cloose
4000533,Low Calories  - لوكالوريز 
4000534,Bayt Aldhabi -  بيت الظبي 
4000535,Closed-Italian Pizza - البيتزا الايطالية 
4000536,Cref Cookies by Bakester - كريف كوكيز بي بيكستر
4000537,Phill -🌙فل  #بوكس_رمضان 
4000538,A plus - أي بلس
4000539,terminated - Afnan Restaurant - مطعم افنان
4000540,Cairo50Restaurant - القاهرة 50 لتقديم الوجبات
4000541,2PU  -  توبيو 
4000542,terminated - Basbosa House J - بسبوسة هاوس
4000543,Rimpshrimp -  ريمب شرمب ( Close ) 
4000544,Shatharat Cafe - شذرات كافيه - cloose
4000545,See Coffee - مقهى بحر القهوه للمشروبات
4000546,Harat Falafel - حارة فلافل - cloose
4000547,Sara For Dates - سارة للتمور
4000548,Nelover -  نيلوفر
4000549,Broastedkey - بروستد كي 
4000550,I Love Fries - أي لوف فرايز
4000551,Media Gy -  ميديا جي - Closed
4000552,Shawarma Hammo - شاورما حمو
4000553,Tannour Tlhatab  - مطاعم تنور الحطب 
4000554,Pizza House - بيتزا هاوس  ( Close ) 
4000555,Eighth Night - ورق عنب ايتي نايت
4000556,Moallem Shakib - معلم شكيب - close 
4000557,Kabsrya - كبسريا- close
4000558,Friends Coffee - فرندز كافيه
4000559,Louvre - لوفر
4000560,Qidr Kabsah - قدر كبسة
4000561,Dtails Café - ديتيلز كافي - cloose
4000562,Da Bao - دا باو 
4000563,Cluck - كلاك
4000564, D' Asian Terrace Restaurant -  تيراس الأسيوي 
4000565,Athawaqa Biryani Restaurant - مطعم برياني الذواقة
4000566,65 Degrees - 65 درجة
4000567,AJ’s Diner - ايه جيز داينر 
4000568,Tatil Cafe - كافيه تاتل
4000569,Palmetto x Wacafe - بالميتو x وكف - cloose
4000570,terminated - Gofre- غوفر 
4000571,Mamamiro - Closed 
4000572,Madghoot Harraq - مطعم مضغوط حراق - closed
4000573,Dukanoo - دكانو
4000574,Shrimp Sandwich Close - شرمب ساندوتش
4000575,- شاورما بو دعيج - close
4000576,Shrimp Moustache - شرمب مستاش - cloose
4000577,Pasta Express - باستا اكسبريس
4000578,Shawarma shack - شاورما شاك 
4000579,Black Drips - بلاك دريبز
4000580,Robica Store - متجر روبيكا للقهوة - closed
4000581,Shawerma & Flafel Mohalhil - شاورما و فلافل مهلهل
4000582,Mb Burger - ام بي برغر
4000583,Harman Restaurants - مطاعم هرمان
4000584,Bashka Lounge - بشكة لاونج - closed
4000585,La Luna -  لالونا  Closed 
4000586,Anast - آنست
4000587,Laboon Food Production - لبون للإنتاج الغذائي 
4000588,view - فيو
4000589,Joppiefries - جوبي فرايز	
4000590,Froz Y - فروز -CLOSED
4000591,Burger Cap - برجر كاب
4000592,Urban Grind - أوربن قرايند - cloose
4000593,Chuck E Cheese - تشاكي تشيز
4000594,Falafel World - عالم الفلافل - cloose
4000595,Moment Burger - مومنت برجر Closed
4000596,Buffalo Best Wings - بافلو بست وينجز
4000597,Serene Gathering - سيرين قاذرينق - cloose
4000598,Dawany - دواني close
4000599,kuzama kitchen -مفرزنات خزامى كيتشن
4000600,Closed - Aija - ايجا
4000601,First Place - فرست بليس 
4000602,Seventies Cafe - مقهى السبعينات 
4000603,Fatafeat Shawrma & Pizza - شاورما وفطائر فتافيت   
4000604,Pizza Al Taglio - cloose
4000605,Sheikha Almatbakh Restaurant - Closed
4000606,Sanwesh - سانوش ( Close ) 
4000607,River - ريفر ( Close ) 
4000608,Dushi - دوشي
4000609,Sushi Cuisine - سوشي كوزين
4000610,Hazat Shawarma - حزة شاورما
4000611,Keyof - كيوف
4000612,Dar Al Hashi - دار الحاشي
4000613,Stamp Burger - ستامب برجر
4000614,Rokn Reef Al Sham - ركن ريف الشام - terminated
4000615,Karak Faris - كرك فارس
4000616,Sultanusta - سلطان اسطا ( Close ) 
4000617,terminated - Walvis - والفس
4000618,Top Bun  - توب بون - cloose
4000619,terminated - The Clubhouse - ذا كلوب هاوس
4000620,terminated - Joyn - جوين
4000621,GOT COOKIE ? - قوت كوكيز ؟ 
4000622,Basil Flavor - نكهة الريحان
4000623,Ayoop Sandwich - ايوب ساندوتش - close
4000624,Tasty Snacks 9/10 - تيستي سناك 9/10 - cloose
4000625,Closed - Hadoutat Beirut - حدوتة بيروت
4000626,Fatira Dhai - فطيرة ضي
4000627,Hwobns Smoked BBQ - هوبنز سموكد باربكيو - cloose
4000628,Closed - Shawarma Marrakech - شاورما مراكش
4000629,Sublime - سبلايم - Closed
